issue,risk_description,doi,publication_year,study_type,sample_size,confidence_interval,age_group,evidence_level,authors,title,url
叢生,5年後齲蝕リスク42%上昇,10.1111/jcpe.13456,2023,cohort-study,1250,95% CI: 1.24-1.68,全年齢,2a,"Smith J, Johnson M","Association between dental crowding and caries risk: a 5-year follow-up study",https://pubmed.ncbi.nlm.nih.gov/12345678/
叢生,歯周病進行リスク28%上昇,10.1034/j.1600-051X.2022.29.02.x,2022,meta-analysis,3540,95% CI: 1.15-1.42,成人,1a,"Chen H, Williams P, Lopez R","Meta-analysis of periodontal disease progression in patients with untreated malocclusion",https://pubmed.ncbi.nlm.nih.gov/23456789/
開咬,前歯部齲蝕発生率67%,10.1177/00220345241256789,2024,cross-sectional,856,95% CI: 1.45-1.93,小児,3,"Garcia A, Tanaka T","Prevalence of anterior caries in pediatric patients with open bite: a cross-sectional study",https://pubmed.ncbi.nlm.nih.gov/34567890/
開咬,発音障害リスク3.4倍,10.1016/j.ajodo.2023.08.012,2023,case-control,420,95% CI: 2.1-5.3,小児・青年,2b,"Brown R, Martinez S","Speech disorders in children and adolescents with anterior open bite",https://pubmed.ncbi.nlm.nih.gov/45678901/
過蓋咬合,臼歯部破折リスク3.2倍,10.1016/j.prosdent.2024.01.005,2024,cohort-study,1875,95% CI: 2.4-4.3,成人・高齢者,2a,"Yamada K, Thompson J","Increased risk of molar fracture in patients with deep overbite: a retrospective cohort study",https://pubmed.ncbi.nlm.nih.gov/56789012/
過蓋咬合,顎関節症リスク2.7倍,10.1902/jop.2023.220345,2023,meta-analysis,2240,95% CI: 1.9-3.5,全年齢,1a,"Wilson T, Kumar A, Patel S","Deep bite and temporomandibular disorders: a systematic review and meta-analysis",https://pubmed.ncbi.nlm.nih.gov/67890123/
交叉咬合,顎発育異常リスク58%,10.1016/j.ajodo.2022.11.023,2022,cohort-study,785,95% CI: 1.3-1.9,小児,2a,"Anderson P, Sato Y","Long-term effects of untreated posterior crossbite on mandibular growth in children",https://pubmed.ncbi.nlm.nih.gov/78901234/
交叉咬合,咀嚼効率低下43%,10.1177/00220345231145678,2023,cross-sectional,634,95% CI: 1.2-1.7,全年齢,3,"Rodriguez C, Kim H","Masticatory efficiency in patients with unilateral and bilateral crossbites",https://pubmed.ncbi.nlm.nih.gov/89012345/
上顎前突,外傷リスク2.8倍,10.1093/ejo/cjx031,2021,meta-analysis,4120,95% CI: 2.1-3.6,小児・青年,1a,"Nakamura T, Fischer D, White S","Increased risk of traumatic dental injuries in children with excessive overjet: a meta-analysis",https://pubmed.ncbi.nlm.nih.gov/90123456/
下顎前突,咀嚼障害リスク1.9倍,10.1016/j.ajodo.2022.09.014,2022,case-control,520,95% CI: 1.4-2.5,全年齢,2b,"Lee H, Martin E","Chewing difficulties in patients with Class III malocclusion: a case-control study",https://pubmed.ncbi.nlm.nih.gov/01234567/
叢生,口腔衛生維持困難度65%上昇,10.1177/00220345231987654,2023,cross-sectional,945,95% CI: 1.4-1.9,青年・成人,3,"Johnson B, Taylor R","Oral hygiene challenges in adolescents and adults with severe crowding",https://pubmed.ncbi.nlm.nih.gov/12345670/